"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","UNEMPEDU","TRY","PC_25_64","A","2019",1.8741159,
"JPN","UNEMPEDU","TRY","PC_25_64","A","2020",1.8434782,
"JPN","UNEMPEDU","TRY","PC_25_64","A","2021",1.7960013,
"JPN","UNEMPEDU","TRY","PC_25_64","A","2022",2.0065789,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",3.9066856,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",4.336854,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",3.9127281,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",2.8487117,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2019",3.1614375,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2020",3.2222047,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2021",3.0695865,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2022",2.4597692,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",3.532999,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",3.903897,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",3.5912952,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",2.7562077,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",2.3499572,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",3.2176805,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",2.9335651,
"MEX","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",2.1812859,
"MEX","UNEMPEDU","TRY","PC_25_64","A","2019",3.9790719,
"MEX","UNEMPEDU","TRY","PC_25_64","A","2020",4.7256651,
"MEX","UNEMPEDU","TRY","PC_25_64","A","2021",4.2447786,
"MEX","UNEMPEDU","TRY","PC_25_64","A","2022",3.5950468,
"MEX","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",3.0942526,
"MEX","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",4.3370628,
"MEX","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",3.9548848,
"MEX","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",3.1223285,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",12.415726,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",10.428127,
"TUR","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",8.6881113,
"TUR","UNEMPEDU","TRY","PC_25_64","A","2019",10.690858,
"TUR","UNEMPEDU","TRY","PC_25_64","A","2021",9.9863539,
"TUR","UNEMPEDU","TRY","PC_25_64","A","2022",9.3369579,
"TUR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",11.932458,
"TUR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",10.523485,
"TUR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",9.3855286,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",4.1815953,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",4.8373442,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",5.8029447,
"ISR","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",5.3526769,
"ISR","UNEMPEDU","TRY","PC_25_64","A","2019",2.826901,
"ISR","UNEMPEDU","TRY","PC_25_64","A","2020",3.1695001,
"ISR","UNEMPEDU","TRY","PC_25_64","A","2021",3.734791,
"ISR","UNEMPEDU","TRY","PC_25_64","A","2022",2.47981,
"ISR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",4.0102782,
"ISR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",4.6674333,
"ISR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",5.6775265,
"ISR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",4.0290017,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",7.6088457,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",12.654549,
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",10.258338,
